order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000601,CUST0021,PROD030,1,480470.58,completed,Credit Card,Chennai,2026-05-04 10:23:00
ORD000602,CUST0049,PROD020,1,192205.0,completed,UPI,Pune,2026-05-04 13:35:00
ORD000603,CUST0049,PROD009,2,438208.56,completed,UPI,Surat,2026-05-04 23:05:00
ORD000604,CUST0165,PROD020,1,396411.04,completed,Debit Card,Mumbai,2026-05-04 15:31:00
ORD000605,CUST0011,PROD026,1,393931.71,completed,EMI,Ahmedabad,2026-05-04 09:21:00
ORD000606,CUST0010,PROD048,1,462422.94,completed,UPI,Ahmedabad,2026-05-04 12:47:00
ORD000607,CUST0045,PROD041,1,65442.76,completed,Credit Card,Delhi,2026-05-04 09:15:00
ORD000608,CUST0028,PROD008,1,295603.04,completed,EMI,Chennai,2026-05-04 22:39:00
ORD000609,CUST0189,PROD044,1,168804.09,completed,UPI,Surat,2026-05-04 10:51:00
ORD000610,CUST0196,PROD003,2,793184.43,completed,Credit Card,Delhi,2026-05-04 12:20:00
ORD000611,CUST0179,PROD024,1,207694.13,completed,Debit Card,Chennai,2026-05-04 11:17:00
ORD000612,CUST0157,PROD025,1,423713.88,completed,UPI,Ahmedabad,2026-05-04 09:08:00
ORD000613,CUST0181,PROD042,1,463083.25,completed,Credit Card,Kolkata,2026-05-04 10:00:00
ORD000614,CUST0070,PROD034,1,71715.31,completed,Net Banking,Bangalore,2026-05-04 23:44:00
ORD000615,CUST0023,PROD041,1,250043.84,pending,Credit Card,Pune,2026-05-04 09:38:00
ORD000616,CUST0136,PROD007,1,96113.05,completed,EMI,Jaipur,2026-05-04 21:00:00
ORD000617,CUST0071,PROD004,1,329731.71,completed,Net Banking,Ahmedabad,2026-05-04 15:29:00
ORD000618,CUST0014,PROD042,1,461351.99,completed,Net Banking,Kolkata,2026-05-04 23:11:00
ORD000619,CUST0117,PROD003,1,445061.78,completed,UPI,Jaipur,2026-05-04 16:21:00
ORD000620,CUST0030,PROD005,1,242633.69,failed,Debit Card,Surat,2026-05-04 13:10:00
ORD000621,CUST0084,PROD015,1,338490.9,completed,Credit Card,Chennai,2026-05-04 18:26:00
ORD000622,CUST0097,PROD015,1,434969.17,completed,EMI,Ahmedabad,2026-05-04 11:15:00
