order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000201,CUST0127,PROD018,3,1237376.56,completed,Credit Card,Pune,2026-05-02 20:13:00
ORD000202,CUST0175,PROD049,2,788388.33,completed,UPI,Ahmedabad,2026-05-02 12:36:00
ORD000203,CUST0117,PROD001,2,158320.32,returned,Debit Card,Chennai,2026-05-02 08:07:00
ORD000204,CUST0071,PROD006,1,79656.94,completed,Credit Card,Delhi,2026-05-02 12:56:00
ORD000205,CUST0102,PROD041,2,165858.87,completed,Net Banking,Kolkata,2026-05-02 19:42:00
ORD000206,CUST0020,PROD009,1,106867.9,completed,EMI,Ahmedabad,2026-05-02 10:45:00
ORD000207,CUST0109,PROD045,1,408591.09,completed,UPI,Chennai,2026-05-02 08:00:00
ORD000208,CUST0081,PROD024,1,51393.1,failed,Net Banking,Kolkata,2026-05-02 20:05:00
ORD000209,CUST0136,PROD037,3,214793.89,completed,Net Banking,Ahmedabad,2026-05-02 12:41:00
ORD000210,CUST0106,PROD040,1,374184.76,completed,Net Banking,Delhi,2026-05-02 19:46:00
ORD000211,CUST0099,PROD023,1,294869.04,returned,Credit Card,Bangalore,2026-05-02 11:08:00
ORD000212,CUST0154,PROD039,1,124233.88,completed,Credit Card,Mumbai,2026-05-02 15:17:00
ORD000213,CUST0192,PROD026,1,254859.38,completed,UPI,Chennai,2026-05-02 17:13:00
ORD000214,CUST0153,PROD005,1,249891.35,completed,UPI,Pune,2026-05-02 23:24:00
ORD000215,CUST0108,PROD024,1,419518.86,completed,Net Banking,Ahmedabad,2026-05-02 18:08:00
ORD000216,CUST0056,PROD003,1,7093.95,failed,Debit Card,Jaipur,2026-05-02 10:01:00
ORD000217,CUST0109,PROD045,1,383601.58,completed,EMI,Jaipur,2026-05-02 17:40:00
ORD000218,CUST0053,PROD010,1,39694.98,completed,Debit Card,Surat,2026-05-02 12:17:00
ORD000219,CUST0062,PROD004,1,365033.2,completed,Debit Card,Delhi,2026-05-02 10:19:00
ORD000220,CUST0190,PROD043,1,154783.17,completed,UPI,Mumbai,2026-05-02 22:39:00
ORD000221,CUST0089,PROD034,1,248307.18,completed,Credit Card,Bangalore,2026-05-02 12:44:00
ORD000222,CUST0188,PROD008,1,436755.34,completed,UPI,Pune,2026-05-02 19:08:00
ORD000223,CUST0148,PROD041,1,131622.24,completed,Debit Card,Jaipur,2026-05-02 21:17:00
ORD000224,CUST0095,PROD011,1,283529.69,completed,UPI,Surat,2026-05-02 19:03:00
ORD000225,CUST0004,PROD016,1,1483.74,completed,Credit Card,Kolkata,2026-05-02 11:14:00
ORD000226,CUST0142,PROD046,2,857542.2,completed,Debit Card,Chennai,2026-05-02 12:11:00
ORD000227,CUST0070,PROD005,1,360199.9,completed,UPI,Jaipur,2026-05-02 18:15:00
ORD000228,CUST0012,PROD026,1,257983.91,completed,Debit Card,Hyderabad,2026-05-02 09:11:00
ORD000229,CUST0095,PROD013,1,228481.74,completed,Credit Card,Surat,2026-05-02 17:20:00
ORD000230,CUST0198,PROD050,1,485934.5,completed,EMI,Chennai,2026-05-02 15:29:00
ORD000231,CUST0139,PROD023,2,24300.69,completed,UPI,Pune,2026-05-02 12:00:00
ORD000232,CUST0187,PROD020,1,424533.19,completed,EMI,Chennai,2026-05-02 08:48:00
ORD000233,CUST0037,PROD046,3,1458855.32,completed,UPI,Chennai,2026-05-02 21:31:00
ORD000234,CUST0192,PROD006,2,458674.65,completed,EMI,Bangalore,2026-05-02 21:44:00
ORD000235,CUST0170,PROD009,1,31328.98,completed,Credit Card,Pune,2026-05-02 20:04:00
ORD000236,CUST0116,PROD018,2,326521.07,completed,Net Banking,Bangalore,2026-05-02 20:44:00
ORD000237,CUST0081,PROD027,1,224893.46,completed,Credit Card,Chennai,2026-05-02 11:09:00
ORD000238,CUST0024,PROD011,1,426270.6,pending,Credit Card,Surat,2026-05-02 22:19:00
ORD000239,CUST0024,PROD046,2,328062.54,completed,Credit Card,Kolkata,2026-05-02 09:13:00
ORD000240,CUST0045,PROD002,1,410080.79,returned,Debit Card,Jaipur,2026-05-02 09:43:00
ORD000241,CUST0036,PROD008,1,401987.6,completed,Net Banking,Bangalore,2026-05-02 15:06:00
ORD000242,CUST0166,PROD006,1,343205.37,completed,Credit Card,Delhi,2026-05-02 14:52:00
ORD000243,CUST0033,PROD006,1,323064.25,failed,Credit Card,Delhi,2026-05-02 08:04:00
ORD000244,CUST0111,PROD047,1,462081.04,completed,UPI,Kolkata,2026-05-02 09:29:00
ORD000245,CUST0071,PROD018,1,454170.45,completed,Net Banking,Mumbai,2026-05-02 21:11:00
ORD000246,CUST0141,PROD031,1,206113.7,completed,Credit Card,Kolkata,2026-05-02 15:41:00
ORD000247,CUST0135,PROD016,1,442349.33,completed,EMI,Mumbai,2026-05-02 12:26:00
ORD000248,CUST0125,PROD023,1,239946.28,failed,EMI,Pune,2026-05-02 20:50:00
ORD000249,CUST0057,PROD002,1,159575.01,failed,Credit Card,Mumbai,2026-05-02 20:17:00
ORD000250,CUST0060,PROD011,1,292077.66,completed,Net Banking,Hyderabad,2026-05-02 23:33:00
ORD000251,CUST0100,PROD023,3,329585.73,failed,Net Banking,Bangalore,2026-05-02 09:48:00
ORD000252,CUST0092,PROD038,1,369104.93,completed,Credit Card,Surat,2026-05-02 15:37:00
ORD000253,CUST0127,PROD035,2,836762.16,completed,Debit Card,Mumbai,2026-05-02 12:36:00
ORD000254,CUST0135,PROD031,1,109560.71,completed,EMI,Chennai,2026-05-02 10:03:00
ORD000255,CUST0083,PROD004,1,459406.64,completed,EMI,Bangalore,2026-05-02 12:21:00
ORD000256,CUST0019,PROD024,1,182571.95,completed,Debit Card,Surat,2026-05-02 11:54:00
ORD000257,CUST0041,PROD047,1,68398.54,failed,Debit Card,Pune,2026-05-02 11:21:00
ORD000258,CUST0158,PROD051,3,1040524.46,completed,EMI,Bangalore,2026-05-02 13:45:00
ORD000259,CUST0046,PROD047,1,147399.73,completed,EMI,Kolkata,2026-05-02 20:19:00
ORD000260,CUST0157,PROD015,1,460534.9,completed,UPI,Ahmedabad,2026-05-02 09:11:00
ORD000261,CUST0082,PROD011,1,119150.36,completed,UPI,Pune,2026-05-02 12:21:00
ORD000262,CUST0018,PROD023,1,124920.52,completed,UPI,Mumbai,2026-05-02 22:00:00
